Time, Total Creatures, Predators, Prey, Trees, Speed, Look Radius, Max Offspring, Size, Storage, ReproductiveUrge, Eye Color
0,0,0,0,0,0,0,0,0,0,0,0
1.007462,0,0,0,0,0,0,0,0,0,0,0
1.929118,0,0,0,0,0,0,0,0,0,0,0
2.938516,0,0,0,0,0,0,0,0,0,0,0
3.939887,0,0,0,0,0,0,0,0,0,0,0
4.948988,0,0,0,0,0,0,0,0,0,0,0
5.956553,0,0,0,0,0,0,0,0,0,0,0
6.960051,0,0,0,0,0,0,0,0,0,0,0
7.965641,0,0,0,0,0,0,0,0,0,0,0
8.973322,0,0,0,0,0,0,0,0,0,0,0
9.975695,0,0,0,1,0,0,0,0,0,0,0
10.97705,0,0,0,18,0,0,0,0,0,0,0
11.98836,0,0,0,41,0,0,0,0,0,0,0
13.00117,0,0,0,62,0,0,0,0,0,0,0
14.00677,0,0,0,78,0,0,0,0,0,0,0
15.02333,0,0,0,93,0,0,0,0,0,0,0
16.02857,0,0,0,112,0,0,0,0,0,0,0
17.0445,0,0,0,134,0,0,0,0,0,0,0
18.16503,0,0,0,139,0,0,0,0,0,0,0
18.37312,0,0,0,139,0,0,0,0,0,0,0
18.58591,0,0,0,140,0,0,0,0,0,0,0
18.78602,0,0,0,141,0,0,0,0,0,0,0
18.98132,0,0,0,142,0,0,0,0,0,0,0
19.19359,0,0,0,142,0,0,0,0,0,0,0
19.40708,0,0,0,142,0,0,0,0,0,0,0
19.62998,0,0,0,143,0,0,0,0,0,0,0
19.82144,0,0,0,144,0,0,0,0,0,0,0
20.00931,0,0,0,144,0,0,0,0,0,0,0
20.21705,0,0,0,144,0,0,0,0,0,0,0
20.41795,0,0,0,144,0,0,0,0,0,0,0
20.60856,0,0,0,144,0,0,0,0,0,0,0
20.80299,0,0,0,144,0,0,0,0,0,0,0
21.01377,0,0,0,144,0,0,0,0,0,0,0
21.21284,0,0,0,144,0,0,0,0,0,0,0
21.40288,0,0,0,144,0,0,0,0,0,0,0
21.59237,0,0,0,145,0,0,0,0,0,0,0
21.77931,0,0,0,144,0,0,0,0,0,0,0
21.97241,0,0,0,144,0,0,0,0,0,0,0
22.17401,0,0,0,144,0,0,0,0,0,0,0
22.38753,0,0,0,144,0,0,0,0,0,0,0
