Time, Total Creatures, Predators, Prey, Trees, Speed, Look Radius, Max Offspring, Size, Storage, ReproductiveUrge, Eye Color, p Speed, p Look Radius, p Max Offspring, p Size, p Storage, p ReproductiveUrge, p Eye Color, P Speed, P Look Radius, P Max Offspring, P Size, P Storage, P ReproductiveUrge, P Eye Color
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.00027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.001053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.003789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.004664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.006203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.007054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.007528,2,0,2,0,0,6,2,1,50,0.5,1,0,6,2,1,50,0.5,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.008997,13,0,13,0,0,6,2,1,50,0.5,1,0,6,2,1,50,0.5,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.011676,13,0,13,0,0,6,2,1,50,0.5,1,0,6,2,1,50,0.5,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.01303,13,0,13,0,0,6,2,1,50,0.5,1,0,6,2,1,50,0.5,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11.01481,13,0,13,0,0,6,2,1,50,0.5,1,0,6,2,1,50,0.5,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12.01771,13,0,13,0,0,6,2,1,50,0.5,1,0,6,2,1,50,0.5,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13.02101,13,0,13,0,0,6,2,1,50,0.5,1,0,6,2,1,50,0.5,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14.02379,13,0,13,0,0,6,2,1,50,0.5,1,0,6,2,1,50,0.5,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15.02382,13,0,13,0,0,6,2,1,50,0.5,1,0,6,2,1,50,0.5,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16.02654,13,0,13,0,0,6,2,1,50,0.5,1,0,6,2,1,50,0.5,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17.02714,13,0,13,0,0,6,2,1,50,0.5,1,0,6,2,1,50,0.5,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18.02724,13,0,13,0,0,6,2,1,50,0.5,1,0,6,2,1,50,0.5,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19.02826,13,0,13,0,0,6,2,1,50,0.5,1,0,6,2,1,50,0.5,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20.02952,13,0,13,0,0,6,2,1,50,0.5,1,0,6,2,1,50,0.5,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21.03213,13,0,13,0,0,6,2,1,50,0.5,1,0,6,2,1,50,0.5,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22.03263,13,0,13,0,0,6,2,1,50,0.5,1,0,6,2,1,50,0.5,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23.03569,13,0,13,0,0,6,2,1,50,0.5,1,0,6,2,1,50,0.5,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24.03644,13,0,13,0,0,6,2,1,50,0.5,1,0,6,2,1,50,0.5,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25.03782,13,0,13,0,0,6,2,1,50,0.5,1,0,6,2,1,50,0.5,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26.03952,13,0,13,0,0,6,2,1,50,0.5,1,0,6,2,1,50,0.5,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27.04295,13,0,13,0,0,6,2,1,50,0.5,1,0,6,2,1,50,0.5,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28.04382,13,0,13,0,0,6,2,1,50,0.5,1,0,6,2,1,50,0.5,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29.04673,13,0,13,0,0,6,2,1,50,0.5,1,0,6,2,1,50,0.5,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.0472,13,0,13,0,0,6,2,1,50,0.5,1,0,6,2,1,50,0.5,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31.04914,13,0,13,0,0,6,2,1,50,0.5,1,0,6,2,1,50,0.5,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.05178,13,0,13,0,0,6,2,1,50,0.5,1,0,6,2,1,50,0.5,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33.0536,13,0,13,0,0,6,2,1,50,0.5,1,0,6,2,1,50,0.5,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34.05388,13,0,13,0,0,6,2,1,50,0.5,1,0,6,2,1,50,0.5,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35.05434,13,0,13,0,0,6,2,1,50,0.5,1,0,6,2,1,50,0.5,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36.05511,13,0,13,0,0,6,2,1,50,0.5,1,0,6,2,1,50,0.5,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37.05581,13,0,13,0,0,6,2,1,50,0.5,1,0,6,2,1,50,0.5,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38.05614,13,0,13,0,0,6,2,1,50,0.5,1,0,6,2,1,50,0.5,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39.05662,13,0,13,0,0,6,2,1,50,0.5,1,0,6,2,1,50,0.5,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40.05725,13,0,13,0,0,6,2,1,50,0.5,1,0,6,2,1,50,0.5,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41.06036,13,0,13,0,0,6,2,1,50,0.5,1,0,6,2,1,50,0.5,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42.06126,13,0,13,0,0,6,2,1,50,0.5,1,0,6,2,1,50,0.5,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43.0648,13,0,13,0,0,6,2,1,50,0.5,1,0,6,2,1,50,0.5,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
