Time, Total Creatures, Predators, Prey, Trees, Speed, Look Radius, Gestation, Max Offspring, Storage, Reproductive Urge, Eye Color
0,0,0,0,0,0,0,0,0,0,0,0
1.026121,0,0,0,0,0,0,0,0,0,0,0
1.943652,0,0,0,0,0,0,0,0,0,0,0
2.953254,0,0,0,0,0,0,0,0,0,0,0
3.953693,0,0,0,0,0,0,0,0,0,0,0
4.955999,0,0,0,0,0,0,0,0,0,0,0
5.962741,0,0,0,0,0,0,0,0,0,0,0
6.979841,0,0,0,0,0,0,0,0,0,0,0
7.98158,0,0,0,0,0,0,0,0,0,0,0
8.998031,0,0,0,0,0,0,0,0,0,0,0
10.00974,0,0,0,0,0,0,0,0,0,0,0
11.15839,0,0,0,2,0,0,0,0,0,0,0
12.17996,0,0,0,25,0,0,0,0,0,0,0
13.18134,0,0,0,49,0,0,0,0,0,0,0
14.54836,0,0,0,59,0,0,0,0,0,0,0
15.51213,0,0,0,60,0,0,0,0,0,0,0
16.53868,0,0,0,61,0,0,0,0,0,0,0
17.69731,0,0,0,62,0,0,0,0,0,0,0
18.8429,0,0,0,63,0,0,0,0,0,0,0
20.02171,0,0,0,64,0,0,0,0,0,0,0
21.36354,0,0,0,65,0,0,0,0,0,0,0
22.59938,0,0,0,66,0,0,0,0,0,0,0
23.88358,0,0,0,67,0,0,0,0,0,0,0
25.11912,0,0,0,68,0,0,0,0,0,0,0
26.36517,0,0,0,69,0,0,0,0,0,0,0
27.67202,0,0,0,70,0,0,0,0,0,0,0
29.00488,0,0,0,71,0,0,0,0,0,0,0
30.25141,0,0,0,72,0,0,0,0,0,0,0
31.42257,0,0,0,73,0,0,0,0,0,0,0
32.43195,0,0,0,74,0,0,0,0,0,0,0
33.19097,0,0,0,75,0,0,0,0,0,0,0
33.67011,0,0,0,76,0,0,0,0,0,0,0
34.08083,0,0,0,77,0,0,0,0,0,0,0
34.5505,0,0,0,78,0,0,0,0,0,0,0
34.98925,0,0,0,79,0,0,0,0,0,0,0
35.37626,0,0,0,80,0,0,0,0,0,0,0
35.73623,0,0,0,81,0,0,0,0,0,0,0
36.08338,0,0,0,82,0,0,0,0,0,0,0
