Time, Total Creatures, Predators, Prey, Trees, Speed, Look Radius, Max Offspring, Size, Storage, ReproductiveUrge, Eye Color
0,0,0,0,0,0,0,0,0,0,0,0
1.007294,0,0,0,0,0,0,0,0,0,0,0
1.921285,0,0,0,0,0,0,0,0,0,0,0
2.931225,0,0,0,0,0,0,0,0,0,0,0
3.946344,0,0,0,0,0,0,0,0,0,0,0
4.948049,0,0,0,0,0,0,0,0,0,0,0
5.963555,0,0,0,0,0,0,0,0,0,0,0
6.971249,0,0,0,0,0,0,0,0,0,0,0
7.983508,0,0,0,0,0,0,0,0,0,0,0
8.989119,0,0,0,0,0,0,0,0,0,0,0
10.0018,0,0,0,0,0,0,0,0,0,0,0
11.00509,0,0,0,0,0,0,0,0,0,0,0
12.01204,0,0,0,0,0,0,0,0,0,0,0
13.02582,0,0,0,0,0,0,0,0,0,0,0
14.04406,0,0,0,0,0,0,0,0,0,0,0
15.04473,0,0,0,0,0,0,0,0,0,0,0
16.04977,0,0,0,0,0,0,0,0,0,0,0
17.05449,0,0,0,0,0,0,0,0,0,0,0
18.05997,0,0,0,0,0,0,0,0,0,0,0
19.07107,0,0,0,0,0,0,0,0,0,0,0
20.0852,0,0,0,0,0,0,0,0,0,0,0
21.08776,0,0,0,0,0,0,0,0,0,0,0
22.09304,0,0,0,0,0,0,0,0,0,0,0
23.10284,0,0,0,0,0,0,0,0,0,0,0
24.10367,0,0,0,0,0,0,0,0,0,0,0
25.11265,0,0,0,0,0,0,0,0,0,0,0
26.12192,0,0,0,0,0,0,0,0,0,0,0
27.12749,0,0,0,0,0,0,0,0,0,0,0
28.13373,0,0,0,0,0,0,0,0,0,0,0
29.15266,0,0,0,0,0,0,0,0,0,0,0
30.15447,0,0,0,0,0,0,0,0,0,0,0
31.16325,0,0,0,0,0,0,0,0,0,0,0
32.18147,0,0,0,0,0,0,0,0,0,0,0
33.19596,0,0,0,0,0,0,0,0,0,0,0
34.20071,0,0,0,0,0,0,0,0,0,0,0
35.20208,0,0,0,0,0,0,0,0,0,0,0
36.21292,0,0,0,0,0,0,0,0,0,0,0
37.22016,0,0,0,0,0,0,0,0,0,0,0
38.22163,0,0,0,0,0,0,0,0,0,0,0
39.23084,0,0,0,0,0,0,0,0,0,0,0
40.23991,0,0,0,0,0,0,0,0,0,0,0
41.24029,0,0,0,0,0,0,0,0,0,0,0
42.2422,0,0,0,0,0,0,0,0,0,0,0
43.24277,0,0,0,0,0,0,0,0,0,0,0
44.24593,0,0,0,0,0,0,0,0,0,0,0
45.26179,0,0,0,0,0,0,0,0,0,0,0
46.27186,0,0,0,0,0,0,0,0,0,0,0
47.28883,0,0,0,0,0,0,0,0,0,0,0
48.29694,0,0,0,0,0,0,0,0,0,0,0
49.29774,0,0,0,0,0,0,0,0,0,0,0
50.30384,0,0,0,0,0,0,0,0,0,0,0
51.31625,0,0,0,0,0,0,0,0,0,0,0
52.31772,0,0,0,0,0,0,0,0,0,0,0
53.31972,0,0,0,0,0,0,0,0,0,0,0
54.33517,0,0,0,0,0,0,0,0,0,0,0
55.3374,0,0,0,0,0,0,0,0,0,0,0
56.35358,0,0,0,0,0,0,0,0,0,0,0
57.36654,0,0,0,0,0,0,0,0,0,0,0
58.37224,0,0,0,0,0,0,0,0,0,0,0
59.38349,0,0,0,0,0,0,0,0,0,0,0
60.3944,0,0,0,0,0,0,0,0,0,0,0
61.40025,0,0,0,0,0,0,0,0,0,0,0
62.52071,0,0,0,0,0,0,0,0,0,0,0
63.53949,0,0,0,0,0,0,0,0,0,0,0
64.59949,0,0,0,0,0,0,0,0,0,0,0
65.61279,0,0,0,0,0,0,0,0,0,0,0
66.61331,0,0,0,0,0,0,0,0,0,0,0
67.61836,0,0,0,0,0,0,0,0,0,0,0
68.62383,0,0,0,1,0,0,0,0,0,0,0
69.63402,0,0,0,22,0,0,0,0,0,0,0
70.64651,0,0,0,43,0,0,0,0,0,0,0
71.64771,0,0,0,72,0,0,0,0,0,0,0
72.6553,0,0,0,88,0,0,0,0,0,0,0
73.65551,0,0,0,113,0,0,0,0,0,0,0
74.66751,0,0,0,134,0,0,0,0,0,0,0
75.68366,0,0,0,151,0,0,0,0,0,0,0
76.70634,4,1,3,166,3.108003,6,2,1,50,1,1
77.71871,38,1,37,172,3.108002,6,2,1,50,1,1
78.73945,63,1,62,177,3.108002,6,2,1,50,1,1
79.76109,84,1,83,182,3.108002,6,2,1,50,1,1
80.78177,101,0,101,189,3.108002,6,2,1,50,1,1
81.8057,101,0,101,199,3.108002,6,2,1,50,1,1
82.83287,101,0,101,209,3.108002,6,2,1,50,1,1
83.8335,101,0,101,215,3.108002,6,2,1,50,1,1
84.86695,101,0,101,223,3.108002,6,2,1,50,1,1
85.89296,101,0,101,229,3.108002,6,2,1,50,1,1
87.01703,101,0,101,239,3.108002,6,2,1,50,1,1
87.29862,101,0,101,239,3.108002,6,2,1,50,1,1
87.60117,101,0,101,239,3.108002,6,2,1,50,1,1
87.90278,101,0,101,241,3.108002,6,2,1,50,1,1
88.25825,101,0,101,242,3.108002,6,2,1,50,1,1
88.57861,101,0,101,242,3.108002,6,2,1,50,1,1
88.87763,101,0,101,243,3.108002,6,2,1,50,1,1
89.17844,101,0,101,243,3.108002,6,2,1,50,1,1
89.50496,101,0,101,243,3.108002,6,2,1,50,1,1
89.83467,101,0,101,244,3.108002,6,2,1,50,1,1
90.20113,101,0,101,244,3.108002,6,2,1,50,1,1
90.5048,101,0,101,245,3.108002,6,2,1,50,1,1
90.84116,101,0,101,244,3.108002,6,2,1,50,1,1
91.22697,101,0,101,244,3.108002,6,2,1,50,1,1
91.54916,101,0,101,245,3.108002,6,2,1,50,1,1
91.85581,101,0,101,245,3.108002,6,2,1,50,1,1
92.14423,101,0,101,245,3.108002,6,2,1,50,1,1
92.41757,101,0,101,246,3.108002,6,2,1,50,1,1
92.69776,101,0,101,246,3.108002,6,2,1,50,1,1
93.01205,101,0,101,248,3.108002,6,2,1,50,1,1
93.34034,101,0,101,249,3.108002,6,2,1,50,1,1
93.73266,101,0,101,249,3.108002,6,2,1,50,1,1
94.03247,101,0,101,250,3.108002,6,2,1,50,1,1
94.3212,101,0,101,250,3.108002,6,2,1,50,1,1
94.60114,101,0,101,250,3.108002,6,2,1,50,1,1
94.88488,101,0,101,250,3.108002,6,2,1,50,1,1
95.16179,101,0,101,250,3.108002,6,2,1,50,1,1
95.45349,101,0,101,252,3.108002,6,2,1,50,1,1
95.78305,101,0,101,252,3.108002,6,2,1,50,1,1
96.12661,101,0,101,252,3.108002,6,2,1,50,1,1
96.44262,101,0,101,253,3.108002,6,2,1,50,1,1
96.771,101,0,101,254,3.108002,6,2,1,50,1,1
97.07878,101,0,101,254,3.108002,6,2,1,50,1,1
97.40929,101,0,101,255,3.108002,6,2,1,50,1,1
97.79576,101,0,101,255,3.108002,6,2,1,50,1,1
98.09127,101,0,101,254,3.108002,6,2,1,50,1,1
98.38684,101,0,101,254,3.108002,6,2,1,50,1,1
98.66779,101,0,101,255,3.108002,6,2,1,50,1,1
98.95009,101,0,101,256,3.108002,6,2,1,50,1,1
99.22595,101,0,101,257,3.108002,6,2,1,50,1,1
99.51125,101,0,101,258,3.108002,6,2,1,50,1,1
99.78972,101,0,101,258,3.108002,6,2,1,50,1,1
100.1065,101,0,101,258,3.108002,6,2,1,50,1,1
100.4012,101,0,101,259,3.108002,6,2,1,50,1,1
100.7037,101,0,101,259,3.108002,6,2,1,50,1,1
101.0035,101,0,101,259,3.108002,6,2,1,50,1,1
101.3762,101,0,101,261,3.108002,6,2,1,50,1,1
101.7992,101,0,101,263,3.108002,6,2,1,50,1,1
102.1539,101,0,101,263,3.108002,6,2,1,50,1,1
102.4755,101,0,101,265,3.108002,6,2,1,50,1,1
102.8123,101,0,101,266,3.108002,6,2,1,50,1,1
103.1398,101,0,101,266,3.108002,6,2,1,50,1,1
103.49,101,0,101,266,3.108002,6,2,1,50,1,1
103.7723,101,0,101,266,3.108002,6,2,1,50,1,1
104.0637,101,0,101,267,3.108002,6,2,1,50,1,1
104.3605,101,0,101,267,3.108002,6,2,1,50,1,1
104.6467,101,0,101,267,3.108002,6,2,1,50,1,1
104.9231,101,0,101,268,3.108002,6,2,1,50,1,1
105.2046,101,0,101,269,3.108002,6,2,1,50,1,1
105.4857,101,0,101,271,3.108002,6,2,1,50,1,1
105.7843,101,0,101,270,3.108002,6,2,1,50,1,1
106.0732,101,0,101,271,3.108002,6,2,1,50,1,1
106.3487,101,0,101,270,3.108002,6,2,1,50,1,1
106.634,101,0,101,271,3.108002,6,2,1,50,1,1
106.921,101,0,101,272,3.108002,6,2,1,50,1,1
107.1963,101,0,101,272,3.108002,6,2,1,50,1,1
107.5505,101,0,101,273,3.108002,6,2,1,50,1,1
107.8915,101,0,101,273,3.108002,6,2,1,50,1,1
108.2119,101,0,101,274,3.108002,6,2,1,50,1,1
108.5404,101,0,101,275,3.108002,6,2,1,50,1,1
108.8515,101,0,101,275,3.108002,6,2,1,50,1,1
109.1896,101,0,101,275,3.108002,6,2,1,50,1,1
109.4755,101,0,101,276,3.108002,6,2,1,50,1,1
109.7829,101,0,101,277,3.108002,6,2,1,50,1,1
110.0892,101,0,101,277,3.108002,6,2,1,50,1,1
110.3871,101,0,101,277,3.108002,6,2,1,50,1,1
110.6779,101,0,101,278,3.108002,6,2,1,50,1,1
110.9969,101,0,101,280,3.108002,6,2,1,50,1,1
111.3433,101,0,101,279,3.108002,6,2,1,50,1,1
111.6932,101,0,101,281,3.108002,6,2,1,50,1,1
112.0393,101,0,101,283,3.108002,6,2,1,50,1,1
112.3842,101,0,101,282,3.108002,6,2,1,50,1,1
112.7428,101,0,101,281,3.108002,6,2,1,50,1,1
113.0809,101,0,101,282,3.108002,6,2,1,50,1,1
113.4622,101,0,101,282,3.108002,6,2,1,50,1,1
113.823,101,0,101,282,3.108002,6,2,1,50,1,1
114.19,101,0,101,283,3.108002,6,2,1,50,1,1
114.5278,101,0,101,283,3.108002,6,2,1,50,1,1
114.8749,101,0,101,282,3.108002,6,2,1,50,1,1
115.2413,101,0,101,282,3.108002,6,2,1,50,1,1
115.5587,101,0,101,283,3.108002,6,2,1,50,1,1
115.8751,101,0,101,283,3.108002,6,2,1,50,1,1
116.1746,101,0,101,283,3.108002,6,2,1,50,1,1
116.61,101,0,101,283,3.108002,6,2,1,50,1,1
117.0273,101,0,101,281,3.108002,6,2,1,50,1,1
117.3546,101,0,101,281,3.108002,6,2,1,50,1,1
117.6527,101,0,101,281,3.108002,6,2,1,50,1,1
117.9841,101,0,101,281,3.108002,6,2,1,50,1,1
118.2866,101,0,101,282,3.108002,6,2,1,50,1,1
118.5772,101,0,101,283,3.108002,6,2,1,50,1,1
118.908,101,0,101,283,3.108002,6,2,1,50,1,1
119.2795,101,0,101,282,3.108002,6,2,1,50,1,1
119.6281,101,0,101,283,3.108002,6,2,1,50,1,1
119.9544,101,0,101,283,3.108002,6,2,1,50,1,1
120.2726,101,0,101,282,3.108002,6,2,1,50,1,1
120.5962,101,0,101,282,3.108002,6,2,1,50,1,1
120.9541,101,0,101,280,3.108002,6,2,1,50,1,1
121.2974,101,0,101,280,3.108002,6,2,1,50,1,1
121.5987,101,0,101,282,3.108002,6,2,1,50,1,1
121.8914,101,0,101,283,3.108002,6,2,1,50,1,1
122.1787,101,0,101,284,3.108002,6,2,1,50,1,1
122.4652,101,0,101,285,3.108002,6,2,1,50,1,1
122.7595,101,0,101,286,3.108002,6,2,1,50,1,1
123.0627,101,0,101,286,3.108002,6,2,1,50,1,1
123.3575,101,0,101,288,3.108002,6,2,1,50,1,1
123.6827,101,0,101,288,3.108002,6,2,1,50,1,1
123.9652,101,0,101,289,3.108002,6,2,1,50,1,1
124.2531,101,0,101,290,3.108002,6,2,1,50,1,1
124.548,101,0,101,290,3.108002,6,2,1,50,1,1
124.8484,101,0,101,291,3.108002,6,2,1,50,1,1
125.2305,101,0,101,292,3.108002,6,2,1,50,1,1
125.5754,101,0,101,292,3.108002,6,2,1,50,1,1
125.936,102,0,102,292,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
126.2758,102,0,102,293,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
126.6205,102,0,102,293,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
126.9798,102,0,102,293,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
127.2784,102,0,102,293,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
127.5635,102,0,102,295,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
127.8666,102,0,102,295,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
128.1635,102,0,102,295,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
128.4507,102,0,102,296,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
128.7558,102,0,102,296,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
129.0363,102,0,102,297,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
129.3273,102,0,102,297,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
129.6112,102,0,102,299,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
129.9067,102,0,102,300,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
130.2053,102,0,102,300,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
130.4993,102,0,102,302,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
130.8476,102,0,102,302,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
131.2058,102,0,102,303,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
131.5401,102,0,102,303,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
131.905,102,0,102,301,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
132.2456,102,0,102,301,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
132.5888,102,0,102,302,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
132.9172,102,0,102,303,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
133.2164,102,0,102,303,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
133.5052,102,0,102,304,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
133.7949,102,0,102,303,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
134.0857,102,0,102,304,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
134.3795,102,0,102,305,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
134.6774,102,0,102,305,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
135.0111,102,0,102,305,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
135.3104,102,0,102,307,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
135.6017,102,0,102,308,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
135.9537,102,0,102,309,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
136.2866,102,0,102,309,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
136.5767,102,0,102,311,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
136.9582,102,0,102,310,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
137.3042,102,0,102,310,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
137.6256,102,0,102,310,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
137.9479,102,0,102,310,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
138.2757,102,0,102,309,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
138.6185,102,0,102,309,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
138.9541,102,0,102,309,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
139.2447,102,0,102,309,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
139.5182,102,0,102,309,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
139.8002,102,0,102,309,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
140.0981,102,0,102,308,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
140.3905,102,0,102,308,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
140.6798,102,0,102,308,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
140.9652,102,0,102,308,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
141.2523,102,0,102,308,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
141.5349,102,0,102,308,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
141.8114,102,0,102,308,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
142.1039,102,0,102,308,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
142.3779,102,0,102,308,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
142.7083,102,0,102,308,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
143.1674,102,0,102,308,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
143.6188,102,0,102,308,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
144.0507,102,0,102,307,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
144.4626,102,0,102,307,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
144.8671,102,0,102,307,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
145.285,102,0,102,306,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
145.696,102,0,102,306,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
146.0971,102,0,102,306,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
146.5171,102,0,102,306,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
146.9257,102,0,102,306,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
147.3332,102,0,102,306,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
147.7586,102,0,102,305,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
148.1763,102,0,102,304,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
148.6536,102,0,102,304,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
149.0771,102,0,102,304,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
149.4999,102,0,102,304,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
149.9305,102,0,102,304,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
150.3439,102,0,102,304,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
150.7493,102,0,102,304,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
151.1592,102,0,102,304,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
151.5662,102,0,102,303,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
151.9756,102,0,102,302,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
152.377,102,0,102,301,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
152.7903,102,0,102,301,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
153.2131,102,0,102,301,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
153.6136,102,0,102,301,3.113973,6.017066,1.99961,0.9979342,50.0628,1.003346,1
154.0415,97,0,97,301,3.11428,6.017945,1.999589,0.9978278,50.06603,1.003519,1
154.3165,93,0,93,301,3.114551,6.018717,1.999572,0.9977343,50.06887,1.00367,1
154.8043,87,0,87,301,3.115002,6.020008,1.999542,0.9975781,50.07362,1.003923,1
155.2439,82,0,82,301,3.115429,6.021227,1.999514,0.9974304,50.07811,1.004162,1
155.6572,80,0,80,300,3.115614,6.021758,1.999502,0.9973661,50.08007,1.004266,1
156.0815,78,0,78,298,3.11581,6.022316,1.999489,0.9972986,50.08212,1.004376,1
156.4635,73,0,73,297,3.116344,6.023845,1.999454,0.9971136,50.08774,1.004676,1
156.8171,72,0,72,297,3.11646,6.024176,1.999447,0.9970735,50.08896,1.00474,1
157.1767,70,0,70,297,3.116702,6.024867,1.999431,0.9969899,50.0915,1.004876,1
157.5307,69,0,69,297,3.116828,6.025227,1.999423,0.9969463,50.09283,1.004946,1
157.9103,66,0,66,297,3.117229,6.026374,1.999397,0.9968075,50.09705,1.005171,1
158.2605,66,0,66,296,3.117229,6.026374,1.999397,0.9968075,50.09705,1.005171,1
158.6152,65,0,65,296,3.117371,6.026779,1.999387,0.9967583,50.09854,1.005251,1
158.9532,65,0,65,296,3.117371,6.026779,1.999387,0.9967583,50.09854,1.005251,1
159.3135,65,0,65,296,3.117371,6.026779,1.999387,0.9967583,50.09854,1.005251,1
159.6592,65,0,65,296,3.117371,6.026779,1.999387,0.9967583,50.09854,1.005251,1
