Time, Total Creatures, Predators, Prey, Trees, Speed, Look Radius, Max Offspring, Size, Storage, ReproductiveUrge, Eye Color
0,0,0,0,0,0,0,0,0,0,0,0
1.006036,0,0,0,0,0,0,0,0,0,0,0
1.923369,0,0,0,0,0,0,0,0,0,0,0
2.931816,0,0,0,0,0,0,0,0,0,0,0
3.942203,0,0,0,0,0,0,0,0,0,0,0
4.995497,0,0,0,0,0,0,0,0,0,0,0
6.009716,0,0,0,0,0,0,0,0,0,0,0
7.017331,0,0,0,0,0,0,0,0,0,0,0
8.023402,0,0,0,0,0,0,0,0,0,0,0
9.039947,0,0,0,0,0,0,0,0,0,0,0
10.05302,0,0,0,0,0,0,0,0,0,0,0
11.06147,0,0,0,0,0,0,0,0,0,0,0
12.07479,0,0,0,0,0,0,0,0,0,0,0
13.08839,0,0,0,0,0,0,0,0,0,0,0
14.09204,0,0,0,0,0,0,0,0,0,0,0
15.10239,0,0,0,0,0,0,0,0,0,0,0
16.11383,0,0,0,0,0,0,0,0,0,0,0
17.1151,0,0,0,0,0,0,0,0,0,0,0
18.13243,0,0,0,0,0,0,0,0,0,0,0
19.13792,0,0,0,0,0,0,0,0,0,0,0
20.14207,0,0,0,0,0,0,0,0,0,0,0
21.15076,0,0,0,0,0,0,0,0,0,0,0
22.15733,0,0,0,0,0,0,0,0,0,0,0
23.16394,0,0,0,0,0,0,0,0,0,0,0
24.1645,0,0,0,0,0,0,0,0,0,0,0
25.16826,0,0,0,0,0,0,0,0,0,0,0
26.1822,0,0,0,0,0,0,0,0,0,0,0
27.18311,0,0,0,0,0,0,0,0,0,0,0
28.19076,0,0,0,0,0,0,0,0,0,0,0
29.19498,0,0,0,0,0,0,0,0,0,0,0
30.20514,0,0,0,0,0,0,0,0,0,0,0
31.21422,0,0,0,0,0,0,0,0,0,0,0
32.25084,0,0,0,0,0,0,0,0,0,0,0
33.25806,0,0,0,0,0,0,0,0,0,0,0
34.26546,0,0,0,0,0,0,0,0,0,0,0
35.26965,0,0,0,0,0,0,0,0,0,0,0
36.28265,0,0,0,0,0,0,0,0,0,0,0
37.28397,0,0,0,0,0,0,0,0,0,0,0
38.32382,0,0,0,0,0,0,0,0,0,0,0
39.33069,0,0,0,0,0,0,0,0,0,0,0
40.34087,0,0,0,0,0,0,0,0,0,0,0
41.34991,0,0,0,0,0,0,0,0,0,0,0
42.35345,0,0,0,5,0,0,0,0,0,0,0
43.36125,0,0,0,26,0,0,0,0,0,0,0
44.3633,0,0,0,52,0,0,0,0,0,0,0
45.37745,0,0,0,74,0,0,0,0,0,0,0
46.38043,0,0,0,89,0,0,0,0,0,0,0
47.38054,0,0,0,113,0,0,0,0,0,0,0
48.38742,0,0,0,131,0,0,0,0,0,0,0
49.38749,0,0,0,152,0,0,0,0,0,0,0
50.39391,0,0,0,171,0,0,0,0,0,0,0
51.41049,0,0,0,189,0,0,0,0,0,0,0
52.41518,0,0,0,204,0,0,0,0,0,0,0
53.42658,0,0,0,220,0,0,0,0,0,0,0
54.44757,0,0,0,236,0,0,0,0,0,0,0
55.45426,0,0,0,246,0,0,0,0,0,0,0
56.45585,0,0,0,253,0,0,0,0,0,0,0
57.61616,0,0,0,255,0,0,0,0,0,0,0
57.93413,0,0,0,256,0,0,0,0,0,0,0
58.3007,0,0,0,257,0,0,0,0,0,0,0
58.65009,0,0,0,257,0,0,0,0,0,0,0
58.95867,0,0,0,257,0,0,0,0,0,0,0
59.29428,0,0,0,257,0,0,0,0,0,0,0
59.66386,0,0,0,257,0,0,0,0,0,0,0
60.00528,0,0,0,257,0,0,0,0,0,0,0
60.3223,0,0,0,257,0,0,0,0,0,0,0
60.6202,0,0,0,258,0,0,0,0,0,0,0
60.92813,0,0,0,257,0,0,0,0,0,0,0
61.27193,0,0,0,257,0,0,0,0,0,0,0
61.58039,0,0,0,258,0,0,0,0,0,0,0
61.91328,0,0,0,259,0,0,0,0,0,0,0
62.2446,0,0,0,260,0,0,0,0,0,0,0
62.58815,0,0,0,260,0,0,0,0,0,0,0
62.95047,0,0,0,260,0,0,0,0,0,0,0
63.30901,0,0,0,260,0,0,0,0,0,0,0
63.68152,0,0,0,260,0,0,0,0,0,0,0
64.09073,0,0,0,260,0,0,0,0,0,0,0
64.46988,0,0,0,261,0,0,0,0,0,0,0
64.79802,0,0,0,260,0,0,0,0,0,0,0
65.10419,0,0,0,260,0,0,0,0,0,0,0
65.40578,0,0,0,261,0,0,0,0,0,0,0
65.7163,0,0,0,261,0,0,0,0,0,0,0
66.05448,0,0,0,260,0,0,0,0,0,0,0
66.38828,0,0,0,261,0,0,0,0,0,0,0
66.69881,0,0,0,261,0,0,0,0,0,0,0
66.99671,0,0,0,260,0,0,0,0,0,0,0
67.29552,0,0,0,260,0,0,0,0,0,0,0
67.62677,0,0,0,260,0,0,0,0,0,0,0
67.99991,0,0,0,261,0,0,0,0,0,0,0
68.34539,0,0,0,261,0,0,0,0,0,0,0
68.66326,0,0,0,262,0,0,0,0,0,0,0
68.97186,0,0,0,261,0,0,0,0,0,0,0
69.29252,0,0,0,262,0,0,0,0,0,0,0
69.59366,0,0,0,263,0,0,0,0,0,0,0
69.92314,0,0,0,262,0,0,0,0,0,0,0
70.25735,0,0,0,262,0,0,0,0,0,0,0
70.56796,0,0,0,262,0,0,0,0,0,0,0
70.89043,0,0,0,262,0,0,0,0,0,0,0
71.19836,0,0,0,262,0,0,0,0,0,0,0
71.50012,0,0,0,263,0,0,0,0,0,0,0
71.83511,0,0,0,262,0,0,0,0,0,0,0
