Time, Total Creatures, Predators, Prey, Trees, Speed, Look Radius, Gestation, Max Offspring, Storage, Reproductive Urge, Eye Color
0,0,0,0,0,0,0,0,0,0,0,0
1.025489,0,0,0,0,0,0,0,0,0,0,0
1.979014,0,0,0,0,0,0,0,0,0,0,0
2.923735,0,0,0,0,0,0,0,0,0,0,0
3.834682,0,0,0,0,0,0,0,0,0,0,0
4.86255,0,0,0,0,0,0,0,0,0,0,0
5.873168,0,0,0,0,0,0,0,0,0,0,0
6.875221,0,0,0,0,0,0,0,0,0,0,0
7.891519,0,0,0,0,0,0,0,0,0,0,0
8.906462,0,0,0,0,0,0,0,0,0,0,0
9.918533,0,0,0,0,0,0,0,0,0,0,0
10.92478,0,0,0,0,0,0,0,0,0,0,0
11.94187,0,0,0,0,0,0,0,0,0,0,0
12.96513,0,0,0,0,0,0,0,0,0,0,0
13.97025,0,0,0,0,0,0,0,0,0,0,0
14.97218,0,0,0,0,0,0,0,0,0,0,0
15.97863,0,0,0,0,0,0,0,0,0,0,0
16.99479,0,0,0,0,0,0,0,0,0,0,0
18.00435,0,0,0,0,0,0,0,0,0,0,0
19.02949,0,0,0,0,0,0,0,0,0,0,0
20.04002,0,0,0,0,0,0,0,0,0,0,0
21.04712,0,0,0,0,0,0,0,0,0,0,0
22.06094,0,0,0,0,0,0,0,0,0,0,0
23.08588,0,0,0,0,0,0,0,0,0,0,0
24.09037,0,0,0,0,0,0,0,0,0,0,0
25.09305,0,0,0,0,0,0,0,0,0,0,0
