Time, Total Creatures, Predators, Prey, Trees, Speed, Look Radius, Max Offspring, Size, Storage, ReproductiveUrge, Eye Color
0,0,0,0,0,0,0,0,0,0,0,0
1.011003,0,0,0,0,0,0,0,0,0,0,0
1.920455,0,0,0,0,0,0,0,0,0,0,0
2.924882,0,0,0,0,0,0,0,0,0,0,0
3.933396,0,0,0,0,0,0,0,0,0,0,0
4.935013,0,0,0,0,0,0,0,0,0,0,0
5.938272,0,0,0,0,0,0,0,0,0,0,0
6.939834,0,0,0,0,0,0,0,0,0,0,0
7.942527,0,0,0,0,0,0,0,0,0,0,0
8.948798,0,0,0,0,0,0,0,0,0,0,0
9.979741,0,0,0,0,0,0,0,0,0,0,0
10.98615,0,0,0,0,0,0,0,0,0,0,0
12.00618,0,0,0,0,0,0,0,0,0,0,0
13.01512,0,0,0,0,0,0,0,0,0,0,0
14.05045,0,0,0,2,0,0,0,0,0,0,0
15.05523,0,0,0,51,0,0,0,0,0,0,0
16.06826,0,0,0,112,0,0,0,0,0,0,0
17.07419,0,0,0,161,0,0,0,0,0,0,0
18.08762,0,0,0,216,0,0,0,0,0,0,0
19.09953,0,0,0,266,0,0,0,0,0,0,0
20.10101,0,0,0,312,0,0,0,0,0,0,0
21.12593,0,0,0,359,0,0,0,0,0,0,0
22.1277,0,0,0,406,0,0,0,0,0,0,0
23.12917,0,0,0,453,0,0,0,0,0,0,0
24.13581,0,0,0,500,0,0,0,0,0,0,0
25.14364,0,0,0,548,0,0,0,0,0,0,0
26.15886,0,0,0,588,0,0,0,0,0,0,0
27.17122,0,0,0,628,0,0,0,0,0,0,0
28.19058,0,0,0,665,0,0,0,0,0,0,0
29.2143,0,0,0,703,0,0,0,0,0,0,0
30.22156,0,0,0,742,0,0,0,0,0,0,0
31.23029,0,0,0,780,0,0,0,0,0,0,0
32.23879,0,0,0,820,0,0,0,0,0,0,0
33.25943,0,0,0,860,0,0,0,0,0,0,0
34.27266,0,0,0,886,0,0,0,0,0,0,0
35.27522,0,0,0,882,0,0,0,0,0,0,0
36.29446,0,0,0,880,0,0,0,0,0,0,0
37.33766,0,0,0,876,0,0,0,0,0,0,0
38.35543,0,0,0,874,0,0,0,0,0,0,0
39.36974,0,0,0,873,0,0,0,0,0,0,0
40.37265,0,0,0,871,0,0,0,0,0,0,0
41.38629,0,0,0,870,0,0,0,0,0,0,0
42.4036,0,0,0,869,0,0,0,0,0,0,0
43.40482,0,0,0,868,0,0,0,0,0,0,0
44.41704,0,0,0,863,0,0,0,0,0,0,0
45.42801,0,0,0,863,0,0,0,0,0,0,0
46.43351,0,0,0,863,0,0,0,0,0,0,0
