Time, Total Creatures, Predators, Prey, Trees, Speed, Look Radius, Max Offspring, Size, Storage, ReproductiveUrge, Eye Color, p Speed, p Look Radius, p Max Offspring, p Size, p Storage, p ReproductiveUrge, p Eye Color, P Speed, P Look Radius, P Max Offspring, P Size, P Storage, P ReproductiveUrge, P Eye Color
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.001095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.00174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.002067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.004329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.006001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.00638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.007201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.008787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.009756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.01076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.01155,13,0,13,0,1.574183,6,2,1,49,0.5,1,1.574183,6,2,1,49,0.5,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12.01362,13,0,13,0,1.574183,6,2,1,49,0.5,1,1.574183,6,2,1,49,0.5,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13.0157,13,0,13,0,1.574183,6,2,1,49,0.5,1,1.574183,6,2,1,49,0.5,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14.01815,13,0,13,0,1.574183,6,2,1,49,0.5,1,1.574183,6,2,1,49,0.5,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15.0184,13,0,13,0,1.574183,6,2,1,49,0.5,1,1.574183,6,2,1,49,0.5,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16.02201,13,0,13,0,1.574183,6,2,1,49,0.5,1,1.574183,6,2,1,49,0.5,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
