Time, Total Creatures, Predators, Prey, Trees, Speed, Look Radius, Gestation, Max Offspring, Storage, Reproductive Urge, Eye Color
97.86074,0,0,0,135,0,0,0,0,0,0,0
98.35205,0,0,0,136,0,0,0,0,0,0,0
98.79343,0,0,0,137,0,0,0,0,0,0,0
99.25307,0,0,0,138,0,0,0,0,0,0,0
99.67773,0,0,0,139,0,0,0,0,0,0,0
100.1128,0,0,0,140,0,0,0,0,0,0,0
100.5592,0,0,0,141,0,0,0,0,0,0,0
100.9572,0,0,0,142,0,0,0,0,0,0,0
101.3857,0,0,0,143,0,0,0,0,0,0,0
101.8145,0,0,0,144,0,0,0,0,0,0,0
102.2516,0,0,0,145,0,0,0,0,0,0,0
102.6547,0,0,0,146,0,0,0,0,0,0,0
103.0844,0,0,0,147,0,0,0,0,0,0,0
103.5358,0,0,0,148,0,0,0,0,0,0,0
103.9522,0,0,0,149,0,0,0,0,0,0,0
104.3784,0,0,0,150,0,0,0,0,0,0,0
104.8714,0,0,0,151,0,0,0,0,0,0,0
105.2942,0,0,0,152,0,0,0,0,0,0,0
105.7176,0,0,0,153,0,0,0,0,0,0,0
106.1532,0,0,0,154,0,0,0,0,0,0,0
106.5877,0,0,0,155,0,0,0,0,0,0,0
107.0534,0,0,0,156,0,0,0,0,0,0,0
107.494,0,0,0,157,0,0,0,0,0,0,0
107.9035,0,0,0,158,0,0,0,0,0,0,0
108.3366,0,0,0,159,0,0,0,0,0,0,0
108.8185,0,0,0,160,0,0,0,0,0,0,0
109.2719,0,0,0,161,0,0,0,0,0,0,0
109.7085,0,0,0,162,0,0,0,0,0,0,0
110.1359,0,0,0,163,0,0,0,0,0,0,0
110.5423,0,0,0,164,0,0,0,0,0,0,0
110.9736,0,0,0,165,0,0,0,0,0,0,0
111.398,0,0,0,166,0,0,0,0,0,0,0
111.831,0,0,0,167,0,0,0,0,0,0,0
112.2498,0,0,0,168,0,0,0,0,0,0,0
112.6657,0,0,0,169,0,0,0,0,0,0,0
113.155,0,0,0,170,0,0,0,0,0,0,0
113.6469,0,0,0,171,0,0,0,0,0,0,0
114.1723,0,0,0,172,0,0,0,0,0,0,0
114.6562,0,0,0,173,0,0,0,0,0,0,0
115.0788,0,0,0,174,0,0,0,0,0,0,0
115.4927,0,0,0,175,0,0,0,0,0,0,0
115.9446,0,0,0,176,0,0,0,0,0,0,0
116.4413,0,0,0,177,0,0,0,0,0,0,0
116.888,0,0,0,178,0,0,0,0,0,0,0
117.3416,0,0,0,179,0,0,0,0,0,0,0
117.7857,0,0,0,180,0,0,0,0,0,0,0
118.2148,0,0,0,181,0,0,0,0,0,0,0
118.6353,0,0,0,182,0,0,0,0,0,0,0
119.0868,0,0,0,183,0,0,0,0,0,0,0
119.5382,0,0,0,184,0,0,0,0,0,0,0
119.9467,0,0,0,185,0,0,0,0,0,0,0
120.3565,0,0,0,186,0,0,0,0,0,0,0
120.7683,0,0,0,187,0,0,0,0,0,0,0
121.1827,0,0,0,188,0,0,0,0,0,0,0
121.5818,0,0,0,189,0,0,0,0,0,0,0
122.0382,0,0,0,190,0,0,0,0,0,0,0
122.4523,0,0,0,191,0,0,0,0,0,0,0
122.8871,0,0,0,192,0,0,0,0,0,0,0
123.3184,0,0,0,193,0,0,0,0,0,0,0
123.7369,0,0,0,194,0,0,0,0,0,0,0
124.1447,0,0,0,195,0,0,0,0,0,0,0
124.5721,0,0,0,196,0,0,0,0,0,0,0
125.0082,0,0,0,197,0,0,0,0,0,0,0
125.4403,0,0,0,198,0,0,0,0,0,0,0
125.8749,0,0,0,199,0,0,0,0,0,0,0
126.308,0,0,0,200,0,0,0,0,0,0,0
126.7294,0,0,0,201,0,0,0,0,0,0,0
127.1713,0,0,0,202,0,0,0,0,0,0,0
127.6024,0,0,0,203,0,0,0,0,0,0,0
128.0232,0,0,0,204,0,0,0,0,0,0,0
128.5006,0,0,0,205,0,0,0,0,0,0,0
128.9636,0,0,0,206,0,0,0,0,0,0,0
129.4153,0,0,0,207,0,0,0,0,0,0,0
129.8948,0,0,0,208,0,0,0,0,0,0,0
130.3629,0,0,0,209,0,0,0,0,0,0,0
130.8114,0,0,0,210,0,0,0,0,0,0,0
131.2515,0,0,0,211,0,0,0,0,0,0,0
131.6998,0,0,0,212,0,0,0,0,0,0,0
132.1339,0,0,0,213,0,0,0,0,0,0,0
132.5482,0,0,0,214,0,0,0,0,0,0,0
133.0181,0,0,0,215,0,0,0,0,0,0,0
133.4819,0,0,0,216,0,0,0,0,0,0,0
133.9921,0,0,0,217,0,0,0,0,0,0,0
134.4613,0,0,0,218,0,0,0,0,0,0,0
134.8719,0,0,0,219,0,0,0,0,0,0,0
135.2904,0,0,0,220,0,0,0,0,0,0,0
135.754,0,0,0,221,0,0,0,0,0,0,0
136.217,0,0,0,222,0,0,0,0,0,0,0
136.6498,0,0,0,223,0,0,0,0,0,0,0
137.0979,0,0,0,224,0,0,0,0,0,0,0
137.5258,0,0,0,225,0,0,0,0,0,0,0
137.9642,0,0,0,226,0,0,0,0,0,0,0
138.3893,0,0,0,227,0,0,0,0,0,0,0
138.8035,0,0,0,228,0,0,0,0,0,0,0
139.2274,0,0,0,229,0,0,0,0,0,0,0
139.6889,0,0,0,230,0,0,0,0,0,0,0
140.1242,0,0,0,231,0,0,0,0,0,0,0
140.5537,0,0,0,232,0,0,0,0,0,0,0
141.0278,0,0,0,233,0,0,0,0,0,0,0
141.4961,0,0,0,234,0,0,0,0,0,0,0
141.9405,0,0,0,235,0,0,0,0,0,0,0
142.4108,0,0,0,236,0,0,0,0,0,0,0
142.8487,0,0,0,237,0,0,0,0,0,0,0
143.3064,0,0,0,238,0,0,0,0,0,0,0
143.7525,0,0,0,239,0,0,0,0,0,0,0
144.2098,0,0,0,240,0,0,0,0,0,0,0
144.6929,0,0,0,241,0,0,0,0,0,0,0
145.1259,0,0,0,242,0,0,0,0,0,0,0
145.5939,0,0,0,243,0,0,0,0,0,0,0
146.0789,0,0,0,244,0,0,0,0,0,0,0
146.5281,0,0,0,245,0,0,0,0,0,0,0
146.98,0,0,0,246,0,0,0,0,0,0,0
