Time, Total Creatures, Predators, Prey, Trees, Speed, Look Radius, Max Offspring, Size, Storage, ReproductiveUrge, Eye Color
0,0,0,0,0,0,0,0,0,0,0,0
1.005694,0,0,0,0,0,0,0,0,0,0,0
1.920837,0,0,0,0,0,0,0,0,0,0,0
2.933279,0,0,0,0,0,0,0,0,0,0,0
3.945961,0,0,0,0,0,0,0,0,0,0,0
4.951342,0,0,0,0,0,0,0,0,0,0,0
5.95664,0,0,0,0,0,0,0,0,0,0,0
6.981202,0,0,0,0,0,0,0,0,0,0,0
8.011434,0,0,0,0,0,0,0,0,0,0,0
9.011853,0,0,0,0,0,0,0,0,0,0,0
10.02673,0,0,0,0,0,0,0,0,0,0,0
11.03765,0,0,0,0,0,0,0,0,0,0,0
12.03905,0,0,0,0,0,0,0,0,0,0,0
13.05183,0,0,0,0,0,0,0,0,0,0,0
14.05586,0,0,0,0,0,0,0,0,0,0,0
15.06633,0,0,0,0,0,0,0,0,0,0,0
16.07005,0,0,0,0,0,0,0,0,0,0,0
17.07493,0,0,0,0,0,0,0,0,0,0,0
18.1054,0,0,0,0,0,0,0,0,0,0,0
19.11222,0,0,0,0,0,0,0,0,0,0,0
20.13486,0,0,0,0,0,0,0,0,0,0,0
21.14065,0,0,0,0,0,0,0,0,0,0,0
22.14776,0,0,0,0,0,0,0,0,0,0,0
23.15348,0,0,0,0,0,0,0,0,0,0,0
24.15649,0,0,0,0,0,0,0,0,0,0,0
25.16473,0,0,0,0,0,0,0,0,0,0,0
26.18938,0,0,0,0,0,0,0,0,0,0,0
27.20556,0,0,0,0,0,0,0,0,0,0,0
28.23875,0,0,0,0,0,0,0,0,0,0,0
28.50558,0,0,0,0,0,0,0,0,0,0,0
28.75375,0,0,0,0,0,0,0,0,0,0,0
29.007,0,0,0,0,0,0,0,0,0,0,0
29.23421,0,0,0,0,0,0,0,0,0,0,0
29.49033,0,0,0,0,0,0,0,0,0,0,0
29.74062,0,0,0,0,0,0,0,0,0,0,0
29.96434,0,0,0,0,0,0,0,0,0,0,0
30.21472,0,0,0,0,0,0,0,0,0,0,0
30.44627,0,0,0,0,0,0,0,0,0,0,0
30.67929,0,0,0,0,0,0,0,0,0,0,0
30.96582,0,0,0,0,0,0,0,0,0,0,0
31.26141,0,0,0,0,0,0,0,0,0,0,0
31.61357,0,0,0,0,0,0,0,0,0,0,0
31.96223,0,0,0,0,0,0,0,0,0,0,0
32.33652,0,0,0,0,0,0,0,0,0,0,0
32.67693,0,0,0,0,0,0,0,0,0,0,0
32.99413,0,0,0,0,0,0,0,0,0,0,0
33.35183,0,0,0,0,0,0,0,0,0,0,0
33.73041,0,0,0,0,0,0,0,0,0,0,0
34.16124,0,0,0,0,0,0,0,0,0,0,0
34.47829,0,0,0,0,0,0,0,0,0,0,0
34.81094,0,0,0,0,0,0,0,0,0,0,0
35.15776,0,0,0,0,0,0,0,0,0,0,0
35.47926,0,0,0,0,0,0,0,0,0,0,0
35.82379,0,0,0,0,0,0,0,0,0,0,0
36.14876,0,0,0,0,0,0,0,0,0,0,0
36.51069,0,0,0,0,0,0,0,0,0,0,0
36.87526,0,0,0,0,0,0,0,0,0,0,0
37.22184,0,0,0,0,0,0,0,0,0,0,0
37.56288,0,0,0,0,0,0,0,0,0,0,0
37.89597,0,0,0,0,0,0,0,0,0,0,0
38.21624,0,0,0,0,0,0,0,0,0,0,0
38.54352,0,0,0,0,0,0,0,0,0,0,0
38.8994,0,0,0,0,0,0,0,0,0,0,0
39.23627,0,0,0,0,0,0,0,0,0,0,0
39.57924,0,0,0,0,0,0,0,0,0,0,0
39.92852,0,0,0,0,0,0,0,0,0,0,0
40.23735,0,0,0,0,0,0,0,0,0,0,0
40.57639,0,0,0,0,0,0,0,0,0,0,0
40.92766,0,0,0,0,0,0,0,0,0,0,0
41.27632,0,0,0,0,0,0,0,0,0,0,0
41.59769,0,0,0,0,0,0,0,0,0,0,0
41.91481,0,0,0,0,0,0,0,0,0,0,0
42.22765,0,0,0,0,0,0,0,0,0,0,0
42.56222,0,0,0,0,0,0,0,0,0,0,0
42.87961,0,0,0,0,0,0,0,0,0,0,0
43.19015,0,0,0,0,0,0,0,0,0,0,0
43.60312,0,0,0,0,0,0,0,0,0,0,0
43.94096,0,0,0,0,0,0,0,0,0,0,0
44.28336,0,0,0,0,0,0,0,0,0,0,0
44.61552,0,0,0,0,0,0,0,0,0,0,0
44.94864,0,0,0,0,0,0,0,0,0,0,0
45.25834,0,0,0,0,0,0,0,0,0,0,0
45.63071,0,0,0,0,0,0,0,0,0,0,0
45.9647,0,0,0,0,0,0,0,0,0,0,0
46.28603,0,0,0,0,0,0,0,0,0,0,0
46.70354,0,0,0,0,0,0,0,0,0,0,0
47.04926,0,0,0,0,0,0,0,0,0,0,0
47.39249,0,0,0,0,0,0,0,0,0,0,0
47.7052,0,0,0,0,0,0,0,0,0,0,0
48.01925,0,0,0,0,0,0,0,0,0,0,0
48.36574,0,0,0,0,0,0,0,0,0,0,0
48.71469,0,0,0,0,0,0,0,0,0,0,0
49.02563,0,0,0,0,0,0,0,0,0,0,0
49.37254,0,0,0,0,0,0,0,0,0,0,0
49.72333,0,0,0,0,0,0,0,0,0,0,0
50.03748,0,0,0,0,0,0,0,0,0,0,0
50.37373,0,0,0,0,0,0,0,0,0,0,0
50.74374,0,0,0,0,0,0,0,0,0,0,0
51.08964,0,0,0,0,0,0,0,0,0,0,0
51.41077,0,0,0,0,0,0,0,0,0,0,0
51.81792,0,0,0,0,0,0,0,0,0,0,0
52.14995,0,0,0,0,0,0,0,0,0,0,0
52.48234,0,0,0,0,0,0,0,0,0,0,0
52.80119,0,0,0,0,0,0,0,0,0,0,0
53.14381,0,0,0,0,0,0,0,0,0,0,0
