Time, Total Creatures, Predators, Prey, Trees, Speed, Look Radius
0,0,0,0,0,0,0
1.020785,0,0,0,0,0,0
1.94698,0,0,0,0,0,0
2.890728,0,0,0,0,0,0
3.813101,0,0,0,0,0,0
4.8226,0,0,0,0,0,0
5.826995,0,0,0,0,0,0
6.838641,0,0,0,0,0,0
7.846751,0,0,0,0,0,0
8.858474,0,0,0,0,0,0
9.860969,0,0,0,0,0,0
10.86725,0,0,0,0,0,0
11.87864,0,0,0,0,0,0
12.88873,0,0,0,0,0,0
13.89976,0,0,0,0,0,0
14.90264,0,0,0,0,0,0
15.91201,0,0,0,0,0,0
16.91518,0,0,0,0,0,0
17.9185,0,0,0,0,0,0
18.92859,0,0,0,0,0,0
19.93382,0,0,0,0,0,0
20.94474,0,0,0,0,0,0
21.94644,0,0,0,0,0,0
22.95285,0,0,0,0,0,0
23.96072,0,0,0,0,0,0
24.97026,0,0,0,0,0,0
25.98272,0,0,0,0,0,0
26.98812,0,0,0,0,0,0
27.99389,0,0,0,0,0,0
28.99973,0,0,0,0,0,0
30.00874,0,0,0,0,0,0
31.02202,0,0,0,0,0,0
32.03337,0,0,0,0,0,0
33.03748,0,0,0,0,0,0
34.04202,0,0,0,0,0,0
35.05111,0,0,0,0,0,0
36.05215,0,0,0,0,0,0
37.05844,0,0,0,0,0,0
38.06697,0,0,0,0,0,0
39.08335,0,0,0,0,0,0
40.08925,0,0,0,0,0,0
41.1016,0,0,0,0,0,0
42.1023,0,0,0,0,0,0
43.11032,0,0,0,0,0,0
44.11892,0,0,0,0,0,0
45.12732,0,0,0,0,0,0
