Time, Total Creatures, Predators, Prey, Trees, Speed, Look Radius, Max Offspring, Size, Storage, ReproductiveUrge, Eye Color
0,0,0,0,0,0,0,0,0,0,0,0
1.003044,0,0,0,0,0,0,0,0,0,0,0
1.915071,0,0,0,0,0,0,0,0,0,0,0
2.921036,0,0,0,0,0,0,0,0,0,0,0
3.932324,0,0,0,0,0,0,0,0,0,0,0
4.943271,0,0,0,0,0,0,0,0,0,0,0
5.94907,0,0,0,0,0,0,0,0,0,0,0
6.957197,0,0,0,0,0,0,0,0,0,0,0
7.966011,0,0,0,0,0,0,0,0,0,0,0
8.966297,0,0,0,0,0,0,0,0,0,0,0
9.977285,0,0,0,0,0,0,0,0,0,0,0
10.98569,0,0,0,0,0,0,0,0,0,0,0
11.99159,0,0,0,0,0,0,0,0,0,0,0
12.99864,0,0,0,0,0,0,0,0,0,0,0
14.00508,0,0,0,0,0,0,0,0,0,0,0
15.01305,2,0,2,0,1.568115,6,2,1,50,1,1
16.01533,2,0,2,0,1.568115,6,2,1,50,1,1
17.02639,2,0,2,0,1.568115,6,2,1,50,1,1
18.02863,2,0,2,0,1.568115,6,2,1,50,1,1
19.05783,2,0,2,0,1.568115,6,2,1,50,1,1
20.0673,2,0,2,0,1.568115,6,2,1,50,1,1
21.0786,2,0,2,0,1.568115,6,2,1,50,1,1
22.08693,2,0,2,0,1.568115,6,2,1,50,1,1
23.09018,2,0,2,0,1.568115,6,2,1,50,1,1
