Time, Total Creatures, Predators, Prey, Trees, Speed, Look Radius, Max Offspring, Size, Storage, ReproductiveUrge, Eye Color
0,0,0,0,0,0,0,0,0,0,0,0
1.008635,0,0,0,0,0,0,0,0,0,0,0
1.929806,0,0,0,0,0,0,0,0,0,0,0
2.93652,0,0,0,0,0,0,0,0,0,0,0
3.93836,0,0,0,0,0,0,0,0,0,0,0
4.946912,0,0,0,0,0,0,0,0,0,0,0
5.962166,0,0,0,0,0,0,0,0,0,0,0
6.974263,0,0,0,0,0,0,0,0,0,0,0
7.98153,0,0,0,0,0,0,0,0,0,0,0
8.991966,0,0,0,0,0,0,0,0,0,0,0
9.996049,0,0,0,0,0,0,0,0,0,0,0
11.00536,0,0,0,0,0,0,0,0,0,0,0
12.00613,0,0,0,0,0,0,0,0,0,0,0
13.01623,0,0,0,0,0,0,0,0,0,0,0
14.02117,0,0,0,0,0,0,0,0,0,0,0
15.03278,0,0,0,0,0,0,0,0,0,0,0
16.04082,0,0,0,0,0,0,0,0,0,0,0
17.04873,0,0,0,1,0,0,0,0,0,0,0
18.06757,0,0,0,21,0,0,0,0,0,0,0
19.26232,0,0,0,38,0,0,0,0,0,0,0
19.65174,0,0,0,38,0,0,0,0,0,0,0
23.43413,0,0,0,38,0,0,0,0,0,0,0
27.10916,0,0,0,38,0,0,0,0,0,0,0
30.54754,0,0,0,38,0,0,0,0,0,0,0
34.12045,0,0,0,38,0,0,0,0,0,0,0
37.20184,0,0,0,39,0,0,0,0,0,0,0
38.74533,0,0,0,40,0,0,0,0,0,0,0
40.08438,0,0,0,40,0,0,0,0,0,0,0
41.21944,0,0,0,40,0,0,0,0,0,0,0
42.44005,0,0,0,40,0,0,0,0,0,0,0
43.72137,0,0,0,40,0,0,0,0,0,0,0
44.99765,0,0,0,40,0,0,0,0,0,0,0
46.1039,0,0,0,40,0,0,0,0,0,0,0
47.32876,0,0,0,41,0,0,0,0,0,0,0
48.57141,0,0,0,41,0,0,0,0,0,0,0
49.84995,0,0,0,41,0,0,0,0,0,0,0
51.17286,0,0,0,42,0,0,0,0,0,0,0
52.37708,0,0,0,43,0,0,0,0,0,0,0
53.59834,0,0,0,44,0,0,0,0,0,0,0
54.88431,0,0,0,44,0,0,0,0,0,0,0
56.08853,0,0,0,44,0,0,0,0,0,0,0
57.32125,0,0,0,44,0,0,0,0,0,0,0
58.6517,0,0,0,44,0,0,0,0,0,0,0
59.88071,0,0,0,45,0,0,0,0,0,0,0
61.1695,0,0,0,45,0,0,0,0,0,0,0
62.4649,0,0,0,45,0,0,0,0,0,0,0
63.73477,0,0,0,45,0,0,0,0,0,0,0
65.01048,0,0,0,46,0,0,0,0,0,0,0
66.13779,0,0,0,46,0,0,0,0,0,0,0
67.42961,0,0,0,46,0,0,0,0,0,0,0
68.75181,0,0,0,46,0,0,0,0,0,0,0
70.07454,0,0,0,46,0,0,0,0,0,0,0
71.35783,0,0,0,47,0,0,0,0,0,0,0
72.73219,0,0,0,48,0,0,0,0,0,0,0
74.02335,0,0,0,48,0,0,0,0,0,0,0
75.40048,0,0,0,48,0,0,0,0,0,0,0
76.79963,0,0,0,48,0,0,0,0,0,0,0
78.15445,0,0,0,49,0,0,0,0,0,0,0
79.43035,0,0,0,49,0,0,0,0,0,0,0
80.64171,0,0,0,49,0,0,0,0,0,0,0
81.98216,0,0,0,49,0,0,0,0,0,0,0
83.33385,0,0,0,50,0,0,0,0,0,0,0
84.61594,0,0,0,50,0,0,0,0,0,0,0
85.96175,0,0,0,50,0,0,0,0,0,0,0
86.96941,0,0,0,50,0,0,0,0,0,0,0
87.73365,0,0,0,50,0,0,0,0,0,0,0
88.39865,0,0,0,50,0,0,0,0,0,0,0
88.8927,0,0,0,50,0,0,0,0,0,0,0
89.26115,0,0,0,50,0,0,0,0,0,0,0
89.76536,0,0,0,50,0,0,0,0,0,0,0
90.32239,0,0,0,51,0,0,0,0,0,0,0
91.01818,0,0,0,52,0,0,0,0,0,0,0
91.69227,0,0,0,52,0,0,0,0,0,0,0
92.3965,0,0,0,52,0,0,0,0,0,0,0
93.1741,0,0,0,53,0,0,0,0,0,0,0
94.10765,0,0,0,54,0,0,0,0,0,0,0
95.13956,0,0,0,55,0,0,0,0,0,0,0
96.17678,0,0,0,55,0,0,0,0,0,0,0
