Time, Total Creatures, Predators, Prey, Trees, Speed, Look Radius, Max Offspring, Size, Storage, ReproductiveUrge, Eye Color
0,0,0,0,0,0,0,0,0,0,0,0
1.002684,0,0,0,0,0,0,0,0,0,0,0
1.92074,0,0,0,0,0,0,0,0,0,0,0
2.926115,0,0,0,0,0,0,0,0,0,0,0
3.935097,0,0,0,0,0,0,0,0,0,0,0
4.950082,0,0,0,0,0,0,0,0,0,0,0
5.952716,0,0,0,0,0,0,0,0,0,0,0
6.966062,0,0,0,0,0,0,0,0,0,0,0
7.994905,0,0,0,0,0,0,0,0,0,0,0
9.043907,0,0,0,0,0,0,0,0,0,0,0
10.11185,0,0,0,0,0,0,0,0,0,0,0
11.1135,0,0,0,0,0,0,0,0,0,0,0
12.12328,0,0,0,0,0,0,0,0,0,0,0
13.1447,0,0,0,0,0,0,0,0,0,0,0
14.15502,0,0,0,0,0,0,0,0,0,0,0
15.19667,0,0,0,4,0,0,0,0,0,0,0
16.22931,0,0,0,13,0,0,0,0,0,0,0
17.25384,0,0,0,23,0,0,0,0,0,0,0
18.26364,0,0,0,36,0,0,0,0,0,0,0
19.26535,0,0,0,49,0,0,0,0,0,0,0
20.26673,0,0,0,58,0,0,0,0,0,0,0
21.28621,0,0,0,77,0,0,0,0,0,0,0
22.30662,0,0,0,95,0,0,0,0,0,0,0
23.32563,0,0,0,111,0,0,0,0,0,0,0
24.32778,0,0,0,131,0,0,0,0,0,0,0
25.33471,0,0,0,149,0,0,0,0,0,0,0
26.34346,0,0,0,164,0,0,0,0,0,0,0
27.34477,0,0,0,184,0,0,0,0,0,0,0
28.35186,0,0,0,205,0,0,0,0,0,0,0
29.37388,0,0,0,226,0,0,0,0,0,0,0
30.38188,0,0,0,236,0,0,0,0,0,0,0
31.38797,0,0,0,246,0,0,0,0,0,0,0
32.39359,0,0,0,264,0,0,0,0,0,0,0
33.40173,0,0,0,278,0,0,0,0,0,0,0
34.42204,0,0,0,289,0,0,0,0,0,0,0
35.42968,0,0,0,298,0,0,0,0,0,0,0
36.45477,0,0,0,308,0,0,0,0,0,0,0
37.61294,0,0,0,311,0,0,0,0,0,0,0
37.79783,0,0,0,311,0,0,0,0,0,0,0
37.97773,0,0,0,311,0,0,0,0,0,0,0
38.14838,0,0,0,311,0,0,0,0,0,0,0
38.31654,0,0,0,312,0,0,0,0,0,0,0
38.4815,0,0,0,312,0,0,0,0,0,0,0
38.65472,0,0,0,313,0,0,0,0,0,0,0
38.83097,0,0,0,313,0,0,0,0,0,0,0
39.02555,0,0,0,314,0,0,0,0,0,0,0
39.21491,0,0,0,314,0,0,0,0,0,0,0
39.40074,0,0,0,315,0,0,0,0,0,0,0
39.58576,0,0,0,315,0,0,0,0,0,0,0
39.7761,0,0,0,316,0,0,0,0,0,0,0
39.98042,0,0,0,317,0,0,0,0,0,0,0
40.19264,0,0,0,317,0,0,0,0,0,0,0
40.39074,0,0,0,317,0,0,0,0,0,0,0
40.60386,0,0,0,317,0,0,0,0,0,0,0
40.82114,0,0,0,318,0,0,0,0,0,0,0
41.16117,0,0,0,319,0,0,0,0,0,0,0
41.57331,0,0,0,319,0,0,0,0,0,0,0
42.01728,0,0,0,320,0,0,0,0,0,0,0
42.48531,0,0,0,320,0,0,0,0,0,0,0
42.97341,0,0,0,320,0,0,0,0,0,0,0
43.4754,0,0,0,321,0,0,0,0,0,0,0
43.98137,0,0,0,321,0,0,0,0,0,0,0
44.53668,0,0,0,321,0,0,0,0,0,0,0
45.04718,0,0,0,321,0,0,0,0,0,0,0
45.54936,0,0,0,321,0,0,0,0,0,0,0
46.03215,0,0,0,321,0,0,0,0,0,0,0
46.50608,0,0,0,321,0,0,0,0,0,0,0
46.99135,0,0,0,321,0,0,0,0,0,0,0
47.48805,0,0,0,321,0,0,0,0,0,0,0
47.9464,0,0,0,321,0,0,0,0,0,0,0
48.38911,0,0,0,321,0,0,0,0,0,0,0
