Time, Total Creatures, Predators, Prey, Trees, Speed, Look Radius
0,0,0,0,0,0,0
1.057492,0,0,0,0,0,0
1.971925,0,0,0,0,0,0
2.981275,0,0,0,0,0,0
3.98901,0,0,0,0,0,0
4.993958,0,0,0,0,0,0
6.010832,0,0,0,0,0,0
7.02414,0,0,0,0,0,0
8.07169,0,0,0,0,0,0
9.097009,0,0,0,0,0,0
10.11993,0,0,0,0,0,0
11.17766,0,0,0,0,0,0
12.19283,0,0,0,0,0,0
13.20098,0,0,0,0,0,0
14.2233,0,0,0,0,0,0
15.2521,0,0,0,0,0,0
16.2633,0,0,0,0,0,0
17.26397,0,0,0,0,0,0
18.27098,0,0,0,0,0,0
19.28123,0,0,0,0,0,0
20.30843,0,0,0,0,0,0
21.31332,0,0,0,0,0,0
22.32311,0,0,0,0,0,0
23.34776,0,0,0,0,0,0
24.35612,0,0,0,30,0,0
25.35689,0,0,0,76,0,0
26.3613,0,0,0,121,0,0
27.42677,0,0,0,139,0,0
28.20929,0,0,0,140,0,0
29.54492,0,0,0,141,0,0
31.33824,0,0,0,142,0,0
33.73735,0,0,0,143,0,0
36.55525,0,0,0,144,0,0
39.5975,0,0,0,145,0,0
42.78272,0,0,0,146,0,0
46.08852,0,0,0,147,0,0
49.56523,0,0,0,148,0,0
52.95001,0,0,0,149,0,0
56.44746,0,0,0,150,0,0
60.01818,0,0,0,151,0,0
63.49023,0,0,0,152,0,0
67.15732,0,0,0,153,0,0
70.78584,0,0,0,154,0,0
74.3276,0,0,0,155,0,0
77.75083,0,0,0,156,0,0
80.24462,0,0,0,157,0,0
82.19915,0,0,0,158,0,0
83.93413,0,0,0,159,0,0
85.55119,0,0,0,160,0,0
86.97192,0,0,0,161,0,0
88.33397,0,0,0,162,0,0
89.78998,0,0,0,163,0,0
91.32701,0,0,0,164,0,0
92.78632,0,0,0,165,0,0
94.23802,0,0,0,166,0,0
95.76926,0,0,0,167,0,0
97.36394,0,0,0,168,0,0
98.81528,0,0,0,169,0,0
99.99885,0,0,0,170,0,0
101.1685,0,0,0,171,0,0
102.3509,0,0,0,172,0,0
103.4104,0,0,0,173,0,0
104.5566,0,0,0,174,0,0
105.8962,0,0,0,175,0,0
107.363,0,0,0,176,0,0
108.8227,0,0,0,177,0,0
110.0977,0,0,0,178,0,0
111.365,0,0,0,179,0,0
112.4673,0,0,0,180,0,0
113.5839,0,0,0,181,0,0
114.7812,0,0,0,182,0,0
115.9675,0,0,0,183,0,0
117.0186,0,0,0,184,0,0
118.0506,0,0,0,185,0,0
119.2229,0,0,0,186,0,0
120.398,0,0,0,187,0,0
121.4829,0,0,0,188,0,0
122.5272,0,0,0,189,0,0
123.6694,0,0,0,190,0,0
124.8293,0,0,0,191,0,0
125.91,0,0,0,192,0,0
126.952,0,0,0,193,0,0
128.11,0,0,0,194,0,0
129.2762,0,0,0,195,0,0
130.3265,0,0,0,196,0,0
131.3793,0,0,0,197,0,0
132.4987,0,0,0,198,0,0
133.6753,0,0,0,199,0,0
134.8168,0,0,0,200,0,0
135.8869,0,0,0,201,0,0
137.0353,0,0,0,202,0,0
138.2218,0,0,0,203,0,0
139.324,0,0,0,204,0,0
140.4103,0,0,0,205,0,0
141.5536,0,0,0,206,0,0
142.7124,0,0,0,207,0,0
143.7531,0,0,0,208,0,0
144.7773,0,0,0,209,0,0
145.8762,0,0,0,210,0,0
147.1826,0,0,0,211,0,0
148.4163,0,0,0,212,0,0
149.5607,0,0,0,213,0,0
150.806,0,0,0,214,0,0
152.041,0,0,0,215,0,0
153.1547,0,0,0,216,0,0
154.2248,0,0,0,217,0,0
155.3807,0,0,0,218,0,0
156.5669,0,0,0,219,0,0
157.6698,0,0,0,220,0,0
158.7299,0,0,0,221,0,0
159.896,0,0,0,222,0,0
161.2142,0,0,0,223,0,0
162.3492,0,0,0,224,0,0
163.4492,0,0,0,225,0,0
164.6562,0,0,0,226,0,0
166.0422,0,0,0,227,0,0
167.4332,0,0,0,228,0,0
168.755,0,0,0,229,0,0
170.0792,0,0,0,230,0,0
171.2585,0,0,0,231,0,0
172.3484,0,0,0,232,0,0
173.5671,0,0,0,234,0,0
174.8309,0,0,0,235,0,0
175.9912,0,0,0,236,0,0
177.1094,0,0,0,237,0,0
178.3081,0,0,0,238,0,0
179.5439,0,0,0,239,0,0
180.7629,0,0,0,240,0,0
181.9258,0,0,0,241,0,0
183.2177,0,0,0,242,0,0
184.5541,0,0,0,243,0,0
185.7723,0,0,0,244,0,0
186.9304,0,0,0,245,0,0
188.1414,0,0,0,246,0,0
189.5775,0,0,0,247,0,0
190.9231,0,0,0,248,0,0
192.3038,0,0,0,249,0,0
193.9643,0,0,0,250,0,0
195.272,0,0,0,251,0,0
196.5548,0,0,0,252,0,0
197.825,0,0,0,253,0,0
199.0117,0,0,0,254,0,0
200.1634,0,0,0,255,0,0
201.4485,0,0,0,256,0,0
202.753,0,0,0,257,0,0
203.9274,0,0,0,258,0,0
205.2266,0,0,0,259,0,0
206.4579,0,0,0,260,0,0
207.7187,0,0,0,261,0,0
208.9834,0,0,0,262,0,0
210.2804,0,0,0,264,0,0
211.5447,0,0,0,265,0,0
212.8214,0,0,0,266,0,0
214.035,0,0,0,267,0,0
215.214,0,0,0,268,0,0
216.5035,0,0,0,269,0,0
217.8281,0,0,0,270,0,0
219.1731,0,0,0,271,0,0
220.4533,0,0,0,272,0,0
221.7022,0,0,0,273,0,0
222.849,0,0,0,274,0,0
223.9653,0,0,0,275,0,0
225.1879,0,0,0,276,0,0
226.4367,0,0,0,277,0,0
227.57,0,0,0,278,0,0
228.8175,0,0,0,279,0,0
230.1184,0,0,0,282,0,0
231.4487,0,0,0,285,0,0
232.7739,0,0,0,286,0,0
234.0297,0,0,0,287,0,0
235.2703,0,0,0,288,0,0
236.394,0,0,0,289,0,0
237.4899,0,0,0,290,0,0
238.673,0,0,0,291,0,0
239.9033,0,0,0,292,0,0
241.0435,0,0,0,293,0,0
242.1897,0,0,0,294,0,0
243.3984,0,0,0,295,0,0
244.6377,0,0,0,296,0,0
245.9497,0,0,0,298,0,0
247.1217,0,0,0,299,0,0
248.3461,0,0,0,300,0,0
249.534,0,0,0,301,0,0
250.6363,0,0,0,302,0,0
251.7399,0,0,0,303,0,0
252.8749,0,0,0,304,0,0
254.0338,0,0,0,305,0,0
255.208,0,0,0,306,0,0
256.331,0,0,0,307,0,0
257.4965,0,0,0,308,0,0
258.6695,0,0,0,309,0,0
259.7805,0,0,0,310,0,0
260.877,0,0,0,311,0,0
262.0273,0,0,0,312,0,0
263.2011,0,0,0,313,0,0
264.3905,0,0,0,314,0,0
265.501,0,0,0,315,0,0
266.7357,0,0,0,316,0,0
268.2391,0,0,0,317,0,0
269.6958,0,0,0,318,0,0
271.2982,0,0,0,320,0,0
272.902,0,0,0,322,0,0
274.4454,0,0,0,323,0,0
276.0659,0,0,0,324,0,0
277.6803,0,0,0,325,0,0
279.2485,0,0,0,326,0,0
280.6761,0,0,0,327,0,0
282.2414,0,0,0,330,0,0
283.7137,0,0,0,331,0,0
285.2232,0,0,0,333,0,0
286.7034,0,0,0,334,0,0
288.0783,0,0,0,335,0,0
289.453,0,0,0,336,0,0
290.8956,0,0,0,337,0,0
292.2746,0,0,0,338,0,0
293.7139,0,0,0,339,0,0
295.1725,0,0,0,340,0,0
296.5794,0,0,0,341,0,0
298.0412,0,0,0,342,0,0
299.503,0,0,0,343,0,0
300.9625,0,0,0,344,0,0
302.443,0,0,0,345,0,0
303.928,0,0,0,346,0,0
305.2984,0,0,0,347,0,0
306.6869,0,0,0,348,0,0
308.123,0,0,0,349,0,0
309.4599,0,0,0,350,0,0
310.8455,0,0,0,351,0,0
312.2165,0,0,0,352,0,0
313.5789,0,0,0,353,0,0
314.9143,0,0,0,354,0,0
316.2874,0,0,0,355,0,0
317.5365,0,0,0,356,0,0
318.8274,0,0,0,357,0,0
320.1061,0,0,0,358,0,0
321.3434,0,0,0,359,0,0
322.5501,0,0,0,360,0,0
323.8453,0,0,0,361,0,0
325.1858,0,0,0,362,0,0
326.4763,0,0,0,363,0,0
327.8455,0,0,0,364,0,0
329.2263,0,0,0,365,0,0
330.5864,0,0,0,366,0,0
331.9116,0,0,0,367,0,0
333.3242,0,0,0,368,0,0
334.7727,0,0,0,369,0,0
336.257,0,0,0,370,0,0
337.8071,0,0,0,373,0,0
339.486,0,0,0,377,0,0
340.9317,0,0,0,378,0,0
342.3741,0,0,0,379,0,0
343.8576,0,0,0,380,0,0
345.2274,0,0,0,381,0,0
346.6658,0,0,0,382,0,0
348.1581,0,0,0,384,0,0
349.5673,0,0,0,385,0,0
352.3547,0,0,0,386,0,0
357.1049,0,0,0,387,0,0
363.4446,0,0,0,388,0,0
371.4074,0,0,0,389,0,0
380.1765,0,0,0,390,0,0
388.9456,0,0,0,392,0,0
397.7147,0,0,0,393,0,0
406.4838,0,0,0,394,0,0
415.253,0,0,0,395,0,0
424.0221,0,0,0,396,0,0
432.7912,0,0,0,397,0,0
441.5603,0,0,0,398,0,0
446.5021,0,0,0,399,0,0
448.7478,0,0,0,400,0,0
449.7739,0,0,0,401,0,0
450.6265,0,0,0,402,0,0
451.4858,0,0,0,403,0,0
452.3203,0,0,0,404,0,0
453.1298,0,0,0,405,0,0
453.8535,0,0,0,406,0,0
454.5616,0,0,0,407,0,0
455.2789,0,0,0,408,0,0
456.0626,0,0,0,409,0,0
456.9282,0,0,0,410,0,0
457.7843,0,0,0,411,0,0
458.6097,0,0,0,412,0,0
459.4585,0,0,0,413,0,0
460.3116,0,0,0,414,0,0
461.1403,0,0,0,415,0,0
461.9847,0,0,0,416,0,0
462.8095,0,0,0,417,0,0
463.6613,0,0,0,418,0,0
464.5128,0,0,0,419,0,0
465.3472,0,0,0,420,0,0
466.1486,0,0,0,421,0,0
466.9687,0,0,0,422,0,0
467.7893,0,0,0,423,0,0
468.6003,0,0,0,424,0,0
469.4823,0,0,0,425,0,0
470.3768,0,0,0,426,0,0
471.2195,0,0,0,427,0,0
472.0493,0,0,0,428,0,0
472.8885,0,0,0,429,0,0
473.6735,0,0,0,430,0,0
474.3476,0,0,0,431,0,0
474.9061,0,0,0,434,0,0
475.3753,0,0,0,435,0,0
475.8472,0,0,0,441,0,0
476.3321,0,0,0,442,0,0
476.7958,0,0,0,444,0,0
477.248,0,0,0,445,0,0
477.6779,0,0,0,446,0,0
478.1021,0,0,0,447,0,0
478.5314,0,0,0,448,0,0
478.9246,0,0,0,449,0,0
479.3531,0,0,0,450,0,0
479.7528,0,0,0,451,0,0
480.1666,0,0,0,452,0,0
480.5906,0,0,0,453,0,0
481.0191,0,0,0,454,0,0
481.4387,0,0,0,455,0,0
481.8754,0,0,0,456,0,0
482.3344,0,0,0,457,0,0
482.7772,0,0,0,458,0,0
483.1752,0,0,0,459,0,0
483.5757,0,0,0,460,0,0
483.9921,0,0,0,461,0,0
484.4239,0,0,0,462,0,0
484.8604,0,0,0,463,0,0
485.2546,0,0,0,464,0,0
485.6426,0,0,0,465,0,0
486.0395,0,0,0,467,0,0
486.4496,0,0,0,468,0,0
486.8742,0,0,0,470,0,0
487.2574,0,0,0,471,0,0
487.6372,0,0,0,472,0,0
488.0246,0,0,0,473,0,0
488.4447,0,0,0,474,0,0
488.8793,0,0,0,476,0,0
489.2635,0,0,0,477,0,0
489.6613,0,0,0,478,0,0
490.0666,0,0,0,479,0,0
490.5389,0,0,0,485,0,0
490.9973,0,0,0,486,0,0
491.4356,0,0,0,490,0,0
491.8422,0,0,0,491,0,0
492.2557,0,0,0,492,0,0
492.7048,0,0,0,496,0,0
493.1455,0,0,0,497,0,0
493.5893,0,0,0,502,0,0
494.0258,0,0,0,503,0,0
494.4805,0,0,0,505,0,0
494.9366,0,0,0,506,0,0
495.4015,0,0,0,510,0,0
495.823,0,0,0,511,0,0
496.2663,0,0,0,516,0,0
496.6892,0,0,0,517,0,0
497.114,0,0,0,518,0,0
497.5543,0,0,0,520,0,0
497.9586,0,0,0,521,0,0
498.3644,0,0,0,522,0,0
498.7766,0,0,0,524,0,0
499.2169,0,0,0,525,0,0
499.6548,0,0,0,526,0,0
500.0566,0,0,0,527,0,0
500.4878,0,0,0,528,0,0
500.9175,0,0,0,529,0,0
501.3544,0,0,0,530,0,0
501.7934,0,0,0,531,0,0
502.1997,0,0,0,532,0,0
502.6122,0,0,0,533,0,0
503.0329,0,0,0,534,0,0
503.4548,0,0,0,535,0,0
503.9358,0,0,0,536,0,0
504.3465,0,0,0,537,0,0
504.7506,0,0,0,538,0,0
