Time, Total Creatures, Predators, Prey, Trees, Speed, Look Radius, Max Offspring, Size, Eye Color, Storage, Reproductive Urge
0,0,0,0,0,0,0,0,0,0,0,0
1.019761,0,0,0,0,0,0,0,0,0,0,0
1.940171,0,0,0,0,0,0,0,0,0,0,0
2.942348,0,0,0,0,0,0,0,0,0,0,0
3.954219,0,0,0,0,0,0,0,0,0,0,0
4.961286,0,0,0,0,0,0,0,0,0,0,0
5.975121,0,0,0,0,0,0,0,0,0,0,0
6.975334,0,0,0,0,0,0,0,0,0,0,0
7.983507,0,0,0,0,0,0,0,0,0,0,0
8.994222,0,0,0,0,0,0,0,0,0,0,0
9.995225,0,0,0,0,0,0,0,0,0,0,0
11.01146,0,0,0,0,0,0,0,0,0,0,0
12.02758,0,0,0,0,0,0,0,0,0,0,0
13.03714,0,0,0,0,0,0,0,0,0,0,0
14.0378,0,0,0,0,0,0,0,0,0,0,0
15.06,0,0,0,0,0,0,0,0,0,0,0
16.06925,0,0,0,0,0,0,0,0,0,0,0
17.18903,0,0,0,2,0,0,0,0,0,0,0
18.22603,0,0,0,26,0,0,0,0,0,0,0
19.2515,0,0,0,51,0,0,0,0,0,0,0
20.2775,0,0,0,73,0,0,0,0,0,0,0
20.63272,0,0,0,74,0,0,0,0,0,0,0
21.08249,0,0,0,75,0,0,0,0,0,0,0
21.55047,0,0,0,76,0,0,0,0,0,0,0
21.98031,0,0,0,77,0,0,0,0,0,0,0
22.37802,0,0,0,78,0,0,0,0,0,0,0
22.83014,0,0,0,79,0,0,0,0,0,0,0
23.34074,0,0,0,80,0,0,0,0,0,0,0
23.77817,0,0,0,81,0,0,0,0,0,0,0
24.22402,0,0,0,82,0,0,0,0,0,0,0
24.68661,0,0,0,83,0,0,0,0,0,0,0
25.2339,0,0,0,84,0,0,0,0,0,0,0
25.72188,0,0,0,85,0,0,0,0,0,0,0
26.19869,0,0,0,86,0,0,0,0,0,0,0
26.74809,0,0,0,87,0,0,0,0,0,0,0
27.34321,0,0,0,88,0,0,0,0,0,0,0
27.86151,0,0,0,89,0,0,0,0,0,0,0
28.41284,0,0,0,90,0,0,0,0,0,0,0
28.97982,0,0,0,91,0,0,0,0,0,0,0
29.51559,0,0,0,92,0,0,0,0,0,0,0
30.07759,0,0,0,93,0,0,0,0,0,0,0
30.59344,0,0,0,94,0,0,0,0,0,0,0
31.13538,0,0,0,95,0,0,0,0,0,0,0
31.69719,0,0,0,96,0,0,0,0,0,0,0
32.24833,0,0,0,97,0,0,0,0,0,0,0
32.76725,0,0,0,98,0,0,0,0,0,0,0
33.35366,0,0,0,99,0,0,0,0,0,0,0
33.92385,0,0,0,100,0,0,0,0,0,0,0
34.4532,0,0,0,101,0,0,0,0,0,0,0
35.02093,0,0,0,102,0,0,0,0,0,0,0
35.57601,0,0,0,103,0,0,0,0,0,0,0
36.16609,0,0,0,104,0,0,0,0,0,0,0
36.71294,0,0,0,105,0,0,0,0,0,0,0
37.24371,0,0,0,106,0,0,0,0,0,0,0
37.78107,0,0,0,107,0,0,0,0,0,0,0
38.34676,0,0,0,108,0,0,0,0,0,0,0
38.90979,0,0,0,109,0,0,0,0,0,0,0
39.55959,0,0,0,110,0,0,0,0,0,0,0
40.2291,0,0,0,111,0,0,0,0,0,0,0
40.99167,0,0,0,112,0,0,0,0,0,0,0
41.77899,0,0,0,113,0,0,0,0,0,0,0
42.56721,0,0,0,114,0,0,0,0,0,0,0
43.36097,0,0,0,115,0,0,0,0,0,0,0
44.14645,0,0,0,116,0,0,0,0,0,0,0
45.0422,0,0,0,117,0,0,0,0,0,0,0
46.00704,0,0,0,118,0,0,0,0,0,0,0
46.88152,0,0,0,119,0,0,0,0,0,0,0
47.73918,0,0,0,120,0,0,0,0,0,0,0
48.57706,0,0,0,121,0,0,0,0,0,0,0
49.5237,0,0,0,122,0,0,0,0,0,0,0
50.47051,0,0,0,123,0,0,0,0,0,0,0
51.67435,0,0,0,124,0,0,0,0,0,0,0
52.54834,0,0,0,125,0,0,0,0,0,0,0
